,Production,Import,Exports,Refinery,Production_Forecast,Import_Forecast,Exports_Forecast,Refinery_Forecast
01/01/2002,7000,0,3014,3607,,,,
01/02/2002,7093,0,3153,3783,,,,
01/03/2002,7142,0,4034,3678,,,,
01/04/2002,7135,0,3555,3604,,,,
01/05/2002,7214,0,3607,3536,,,,
01/06/2002,7331,0,3727,3752,,,,
01/07/2002,7451,0,3346,3678,,,,
01/08/2002,7546,0,3536,3797,,,,
01/09/2002,7626,0,5027,3825,,,,
01/10/2002,7688,0,3939,3725,,,,
01/11/2002,7724,0,4291,3850,,,,
01/12/2002,7546,0,4105,3820,,,,
01/01/2003,7759,0,3559,3654,,,,
01/02/2003,7881,0,4098,3993,,,,
01/03/2003,7925,0,4081,3892,,,,
01/04/2003,7969,0,4095,3752,,,,
01/05/2003,8068,0,4295,3797,,,,
01/06/2003,8190,0,3703,3727,,,,
01/07/2003,8329,0,5007,3725,,,,
01/08/2003,8376,0,5292,3892,,,,
01/09/2003,8484,0,4830,3874,,,,
01/10/2003,8519,0,4888,3797,,,,
01/11/2003,8508,0,4610,3923,,,,
01/12/2003,8519,0,4722,3820,,,,
01/01/2004,8542,0,4342,3725,,,,
01/02/2004,8599,0,3298,3906,,,,
01/03/2004,8661,0,6549,3844,,,,
01/04/2004,8729,0,4266,3825,,,,
01/05/2004,8803,0,3631,3749,,,,
01/06/2004,8974,0,4217,3825,,,,
01/07/2004,9017,0,4247,3892,,,,
01/08/2004,9088,0,4224,4010,,,,
01/09/2004,9146,0,5076,4021,,,,
01/10/2004,9088,0,4912,3892,,,,
01/11/2004,9097,0,5345,4119,,,,
01/12/2004,9017,0,5410,4129,,,,
01/01/2005,9278,0,4176,4129,,,,
01/02/2005,9379,0,5149,4072,,,,
01/03/2005,9349,0,5292,3892,,,,
01/04/2005,9342,0,4978,3948,,,,
01/05/2005,9302,0,5386,4058,,,,
01/06/2005,9416,0,5076,4193,,,,
01/07/2005,9444,0,5149,4295,,,,
01/08/2005,9492,0,4841,4247,,,,
01/09/2005,9563,0,5198,4291,,,,
01/10/2005,9610,0,4698,4271,,,,
01/11/2005,9612,0,5272,4414,,,,
01/12/2005,9681,47,5268,4319,,,,
01/01/2006,9468,47,4627,4319,,,,
01/02/2006,9484,53,5281,4361,,,,
01/03/2006,9563,24,5149,4271,,,,
01/04/2006,9636,25,4904,4487,,,,
01/05/2006,9658,24,5268,4200,,,,
01/06/2006,9685,25,5272,4242,,,,
01/07/2006,9681,47,4627,4461,,,,
01/08/2006,9824,47,5339,4509,,,,
01/09/2006,9734,49,4830,4438,,,,
01/10/2006,9729,95,4936,4509,,,,
01/11/2006,9783,25,4781,4683,,,,
01/12/2006,9824,71,4959,4651,,,,
01/01/2007,9871,71,4746,4556,,,,
01/02/2007,9931,53,5412,4729,,,,
01/03/2007,9919,47,5292,4509,,,,
01/04/2007,9808,74,5296,4414,,,,
01/05/2007,9824,71,5719,4414,,,,
01/06/2007,9906,74,4904,4585,,,,
01/07/2007,9895,119,4888,4746,,,,
01/08/2007,9942,71,5363,4675,,,,
01/09/2007,9906,49,4781,4610,,,,
01/10/2007,9919,47,5386,4390,,,,
01/11/2007,9857,25,5174,4855,,,,
01/12/2007,9871,47,4912,4793,,,,
01/01/2008,9824,24,5007,4722,,,,
01/02/2008,9791,51,4921,4870,,,,
01/03/2008,9776,47,4864,4841,,,,
01/04/2008,9759,74,5272,4438,,,,
01/05/2008,9753,71,4959,4414,,,,
01/06/2008,9808,49,4879,4904,,,,
01/07/2008,9729,47,4722,4817,,,,
01/08/2008,9848,47,4722,4912,,,,
01/09/2008,9857,49,4732,4781,,,,
01/10/2008,9871,47,4770,4770,,,,
01/11/2008,9783,25,4781,4929,,,,
01/12/2008,9871,47,4912,4793,,,,
01/01/2009,9729,47,4888,4580,,,,
01/02/2009,9773,26,4834,4860,,,,
01/03/2009,9824,47,4983,4793,,,,
01/04/2009,9931,25,4879,4463,,,,
01/05/2009,9871,95,5125,4627,,,,
01/06/2009,9906,0,5051,4830,,,,
01/07/2009,9919,47,4698,4936,,,,
01/08/2009,9966,24,4983,4864,,,,
01/09/2009,10078,49,5002,4732,,,,
01/10/2009,10132,0,5149,4532,,,,
01/11/2009,10127,25,5002,4953,,,,
01/12/2009,9776,47,5007,4603,,,,
01/01/2010,10109,47,4603,4959,,,,
01/02/2010,10141,53,5386,5044,,,,
01/03/2010,10180,47,4936,4959,,,,
01/04/2010,10127,49,5247,4806,,,,
01/05/2010,10180,24,4746,4817,,,,
01/06/2010,10176,25,5076,5002,,,,
01/07/2010,10180,0,4770,5102,,,,
01/08/2010,10085,0,4912,5220,,,,
01/09/2010,10225,0,5149,5149,,,,
01/10/2010,10275,0,4461,5031,,,,
01/11/2010,10249,0,4830,5149,,,,
01/12/2010,10180,0,5481,5149,,,,
01/01/2011,10180,0,3868,5125,,,,
01/02/2011,10272,0,5438,5149,,,,
01/03/2011,10180,0,4770,5054,,,,
01/04/2011,10225,0,5223,5002,,,,
01/05/2011,10275,0,4319,5173,,,,
01/06/2011,10200,0,5100,5443,,,,
01/07/2011,10227,0,4580,5363,,,,
01/08/2011,10251,0,4509,5339,,,,
01/09/2011,10274,0,4217,5027,,,,
01/10/2011,10346,0,5339,5149,,,,
01/11/2011,10396,0,4929,5247,,,,
01/12/2011,10370,0,5141,5220,,,,
01/01/2012,9871,0,4514,5363,,,,
01/02/2012,9943,0,4803,5403,,,,
01/03/2012,9919,0,4779,5363,,,,
01/04/2012,9931,0,4637,5125,,,,
01/05/2012,9895,0,5015,5102,,,,
01/06/2012,9906,0,4619,5664,,,,
01/07/2012,9942,0,4859,5624,,,,
01/08/2012,9942,0,4450,5624,,,,
01/09/2012,10004,0,4696,5296,,,,
01/10/2012,10037,0,4779,5220,,,,
01/11/2012,10053,0,5093,5762,,,,
01/12/2012,9990,0,4838,5671,,,,
01/01/2013,9919,0,4288,5410,,,,
01/02/2013,10009,0,4835,5675,,,,
01/03/2013,9966,0,4722,5458,,,,
01/04/2013,10004,0,5024,5027,,,,
01/05/2013,10014,0,4497,5505,,,,
01/06/2013,10078,0,4414,5738,,,,
01/07/2013,10037,0,5099,5885,,,,
01/08/2013,10085,0,4217,5909,,,,
01/09/2013,10078,0,4806,5492,,,,
01/10/2013,10109,0,4675,5386,,,,
01/11/2013,10151,0,5002,5787,,,,
01/12/2013,10109,0,,5814,,,,
01/01/2014,10109,0,4295,5837,,,,
01/02/2014,10062,0,4072,5911,,,,
01/03/2014,10037,0,4485,5837,,,,
01/04/2014,10053,0,5174,5566,,,,
01/05/2014,10085,0,4532,5885,,,,
01/06/2014,10127,0,4144,6056,,,,
01/07/2014,10037,0,5054,5956,,,,
01/08/2014,10061,0,4271,6146,,,,
01/09/2014,10151,49,4217,5811,,,,
01/10/2014,10085,24,4864,5837,,,,
01/11/2014,10151,49,4316,6105,,,,
01/12/2014,10085,47,4437,6027,,,,
01/01/2015,10109,0,4651,5909,,,,
01/02/2015,10167,0,5123,6016,,,,
01/03/2015,10109,24,4793,5719,,,,
01/04/2015,10102,49,5002,5615,,,,
01/05/2015,10085,95,5078,5790,,,,
01/06/2015,10127,147,4732,5787,,,,
01/07/2015,10085,47,4746,5980,,,,
