,Production,Import,Exports,Refinery
2002-01,7000,0,3014,3607
2002-02,7093,0,3153,3783
2002-03,7142,0,4034,3678
2002-04,7135,0,3555,3604
2002-05,7214,0,3607,3536
2002-06,7331,0,3727,3752
2002-07,7451,0,3346,3678
2002-08,7546,0,3536,3797
2002-09,7626,0,5027,3825
2002-10,7688,0,3939,3725
2002-11,7724,0,4291,3850
2002-12,7546,0,4105,3820
2003-01,7759,0,3559,3654
2003-02,7881,0,4098,3993
2003-03,7925,0,4081,3892
2003-04,7969,0,4095,3752
2003-05,8068,0,4295,3797
2003-06,8190,0,3703,3727
2003-07,8329,0,5007,3725
2003-08,8376,0,5292,3892
2003-09,8484,0,4830,3874
2003-10,8519,0,4888,3797
2003-11,8508,0,4610,3923
2003-12,8519,0,4722,3820
2004-01,8542,0,4342,3725
2004-02,8599,0,3298,3906
2004-03,8661,0,6549,3844
2004-04,8729,0,4266,3825
2004-05,8803,0,3631,3749
2004-06,8974,0,4217,3825
2004-07,9017,0,4247,3892
2004-08,9088,0,4224,4010
2004-09,9146,0,5076,4021
2004-10,9088,0,4912,3892
2004-11,9097,0,5345,4119
2004-12,9017,0,5410,4129
2005-01,9278,0,4176,4129
2005-02,9379,0,5149,4072
2005-03,9349,0,5292,3892
2005-04,9342,0,4978,3948
2005-05,9302,0,5386,4058
2005-06,9416,0,5076,4193
2005-07,9444,0,5149,4295
2005-08,9492,0,4841,4247
2005-09,9563,0,5198,4291
2005-10,9610,0,4698,4271
2005-11,9612,0,5272,4414
2005-12,9681,47,5268,4319
2006-01,9468,47,4627,4319
2006-02,9484,53,5281,4361
2006-03,9563,24,5149,4271
2006-04,9636,25,4904,4487
2006-05,9658,24,5268,4200
2006-06,9685,25,5272,4242
2006-07,9681,47,4627,4461
2006-08,9824,47,5339,4509
2006-09,9734,49,4830,4438
2006-10,9729,95,4936,4509
2006-11,9783,25,4781,4683
2006-12,9824,71,4959,4651
2007-01,9871,71,4746,4556
2007-02,9931,53,5412,4729
2007-03,9919,47,5292,4509
2007-04,9808,74,5296,4414
2007-05,9824,71,5719,4414
2007-06,9906,74,4904,4585
2007-07,9895,119,4888,4746
2007-08,9942,71,5363,4675
2007-09,9906,49,4781,4610
2007-10,9919,47,5386,4390
2007-11,9857,25,5174,4855
2007-12,9871,47,4912,4793
2008-01,9824,24,5007,4722
2008-02,9791,51,4921,4870
2008-03,9776,47,4864,4841
2008-04,9759,74,5272,4438
2008-05,9753,71,4959,4414
